Accession,Entry,Name,ex1_114.113,ex1_117.116,ex2_114.113,ex2_117.116,ex1_115.113,ex1_118.116,ex2_115.113,ex2_118.116
ALG2_HUMAN,Q9H553,"Alpha-1,3/1,6-mannosyltransferase ALG2",0.249,0.258,0.955,0.643,0.157,0.413,0.955,0.731
TBL2_HUMAN,Q9Y4P3,"Transducin beta-like protein 2",0.273,0.35,0.488,1.614,0.258,0.217,0.53,0.871
GLRX1_HUMAN,P35754,Glutaredoxin-1,0.991,1.959,6.792,2.07,1.419,2.249,9.204,5.495
CASP4_HUMAN,P49662,Caspase-4,0.433,0.904,4.831,1.009,1.459,1.271,5.702,1.675
CD109_HUMAN,Q6YHK3,"CD109 antigen",6.486,3.981,2.188,1.445,0.294,13.677,1.117,1.159
LV107_HUMAN,P06316,"Ig lambda chain V-I region BL2",0.679,1.107,1.202,0.718,1.225,4.406,1.459,2.466
TPRKB_HUMAN,Q9Y3C4,"TP53RK-binding protein",0.011,0.847,0.096,0.525,0.731,0.565,0.015,0.37
LIMS1_HUMAN,P48059,"LIM and senescent cell antigen-like-containing domain protein 1",2.754,1.722,0.603,1.854,1.614,2.831,1.406,1.086
CEL2B_HUMAN,P08218,"Chymotrypsin-like elastase family member 2B",0.316,0.535,1.514,0.256,0.039,0.425,0.013,0.078
CLIC4_HUMAN,Q9Y696,"Chloride intracellular channel protein 4",1.614,1.472,1.294,0.575,1.432,1.738,3.105,1.271
A1AG2_HUMAN,P19652,"Alpha-1-acid glycoprotein 2",0.692,1.905,1.107,5.058,1.343,2.443,1.076,13.183
MPI_HUMAN,P34949,"Mannose-6-phosphate isomerase",0.278,0.685,0.511,1.282,0.545,0.575,0.506,0.334
MMP9_HUMAN,P14780,"Matrix metalloproteinase-9",2.07,1.202,1.706,13.552,1.393,2.109,7.112,10
RHG18_HUMAN,Q8N392,"Rho GTPase-activating protein 18",0.904,0.637,0.278,0.597,0.929,0.745,0.745,0.211
RAC2_HUMAN,P15153,"Ras-related C3 botulinum toxin substrate 2",2.443,1.148,1.038,3.221,7.727,0.832,2.399,4.018
CLPB_HUMAN,Q9H078,"Caseinolytic peptidase B protein homolog",0.124,0.879,0.631,0.982,0.492,1.191,0.738,0.929
CHMP3_HUMAN,Q9Y3E7,"Charged multivesicular body protein 3",0.525,0.855,0.47,0.445,1.368,0.912,0.55,0.53
RBSK_HUMAN,Q9H477,Ribokinase,0.126,0.506,2.168,0.55,0.187,0.256,0.337,0.731
CTHR1_HUMAN,Q96CG8,"Collagen triple helix repeat-containing protein 1",0.209,0.391,0.394,0.608,5.248,5.754,1.247,0.545
SPRC_HUMAN,P09486,SPARC,0.273,9.376,1.33,1.294,1.445,26.062,1.33,2.355
SIAE_HUMAN,Q9HAT2,"Sialate O-acetylesterase",0.302,0.92,0.344,1.432,0.449,0.809,0.912,0.525
CY24B_HUMAN,P04839,"Cytochrome b-245 heavy chain",0.794,0.946,3.873,0.679,2.032,2.606,3.281,1.159
MFAP5_HUMAN,Q13361,"Microfibrillar-associated protein 5",0.991,0.649,0.643,0.356,2.128,1.69,0.409,1.528
GILT_HUMAN,P13284,"Gamma-interferon-inducible lysosomal thiol reductase",2.965,0.887,1.225,0.421,1.514,2.228,2.109,1.706
BST2_HUMAN,Q10589,"Bone marrow stromal antigen 2",0.011,0.787,1.888,1.854,1.69,1.355,1.786,1.169
FCG3A_HUMAN,P08637,"Low affinity immunoglobulin gamma Fc region receptor III-A",2.858,0.759,1.854,0.879,3.565,1.067,1.644,1.706
MET7A_HUMAN,Q9H8H3,"Methyltransferase-like protein 7A",0.261,1.6,0.57,9.55,0.347,0.946,0.263,0.052
ISK1_HUMAN,P00995,"Pancreatic secretory trypsin inhibitor",0.096,0.525,2.831,0.353,0.015,0.37,0.063,0.121
DPM3_HUMAN,Q9P2X0,"Dolichol-phosphate mannosyltransferase subunit 3",0.453,0.619,1.086,1.019,0.139,0.839,0.631,0.54
UN13D_HUMAN,Q70J99,"Protein unc-13 homolog D",1.057,0.847,0.011,1.871,0.608,0.643,0.087,0.855
