Gene.Names,Protein.Descriptions,Entry,PDAC.Benign.fold.change.,t.test.pvalue
LYZ;LZM;hCG_24462,"Lysozyme C",P61626,0.33927076,0.150120785
COL3A1;hCG_25172,"Isoform 1 of Collagen",P02461,0.327136854,0.05983511
GLO1,"Lactoylglutathione lyase",Q04760,0.326890621,0.27342424
HLA-DRB1,"HLA class II",P20039,0.326418127,0.895725659
LAMB2;LAMC1,"Laminin subunit gamma-",P11047,0.32464848,0.14589659
HSP70B';HSPA6;HSP70B;HSPA7,"Heat shock 70 kDa",P17066,0.322652078,0.058084329
DDAH;DDAH2;G6A;NG30;DADB-,"N(G),N(G)-",O95865,0.320111539,0.076252294
CD18;ITGB2;MFI7;hCG_401305,"Integrin beta-2;Integrin",P05107,0.319432009,0.409227932
C19orf10;IL25,"UPF0556 protein",Q969H8,0.312538432,0.778136986
C4B-1;C4B-2;DASS-307J8.2-,Complement,P0C0L5,0.309540534,0.16870649
C3;CPAMD1,"Complement C3",P01024,0.306402154,0.252972716
CDEP;FARP1;PLEKHC2;RP11-,"Isoform 2 of FERM,",Q9Y4F1,0.305872579,0.322872676
A2M;CPAMD5;FWP007,Alpha-2-macroglobulin,P01023,0.302783461,0.175992768
,"200 kDa protein",NA,0.296841947,0.211378477
G22P2;XRCC5,"ATP-dependent DNA",P13010,0.294586759,0.104722462
PRO2222;RBP4;hCG_37964;RP11-,"Retinol-binding protein",P02753,0.293252976,0.096056786
COL6A1;hCG_401279,Collagenalpha-1(VI),P12109,0.285794508,0.022682569
TKT,"cDNA FLJ54957, highly",P29401,0.284832686,0.860852546
HIST2H3PS2;RP5-998N21.6-,"Histone H3;Histone",Q16695,0.2820393,0.588487476
DMB;HLA-DMB;RING7;DAMC-,"HLA class II",P28068,0.280224864,0.775046163
KPP;KRT10,">P13645 SWISS-",P13645,0.278605404,0.421575987
RPS23;hCG_38189,"40S ribosomal protein",P62266,0.276120239,0.771169774
COL4A1,"Isoform 1 of Collagen",P02462,0.273856468,0.400164464
ALDC;ALDH1;ALDH1A1;PUMB1,"Retinal dehydrogenase",P00352,0.269853574,0.250926127
PSC5;PSMB1,"Proteasome subunit",P20618,0.267826237,0.712561256
HLA-DQB1;XXbac-BPG254F23.2-,"Major histocompatibility",P01920,0.264014541,0.858390311
HLA-DP1A;HLA-,"HLA class II",P20036,0.257669547,0.125168694
TSN;hCG_37642,"Translin;cDNA FLJ59957,",Q15631,0.252032051,0.666300923
EDN;RNASE2;RNS2,Non-secretory,P10153,0.249408984,0.23086478
PRDX4,Peroxiredoxin-,Q13162,0.242112328,0.384281407
,Myosin-reactive,NA,0.239953899,0.329380606
GPNMB;HGFIN;NMB;UNQ1725/P,"cDNA FLJ56293, highly",Q14956,0.235238681,0.09107103
NID;NID1,"Isoform 1 of Nidogen-",P14543,0.224949285,0.263827278
NTF2;NUTF2,"Nuclear transport factor",P61970,0.223558313,0.257953316
GDI2;RP11-318E3.2-,"cDNA FLJ60299, highly",P50395,0.219443115,0.078537775
PSMB2;hCG_1812781,"Proteasome subunit",P49721,0.212959432,0.608448496
ALY;BEF;THOC4,"THO complex 4",Q86V81,0.209432824,0.008973077
GPI,Glucose-6-phosphate,P06744,0.208824803,0.726133459
EHD2;PAST2,"EH domain-containing",Q9NZN4,0.20624947,0.529713857
HC2;NU;PROS30;PSC2;PSMA1,"Isoform Long of",P25786,0.187724529,0.602201083
COL4A2,"Collagen alpha-2(IV)",P08572,0.187584188,0.257051669
TTBK2;KIAA0847,>IPI:IPI00217437.6|TRE,Q6IQ55,0.186517342,0.312483756
COL6A2,"Isoform 2C2 of Collagen",P12110,0.182627576,0.015524085
GNB1,"Guanine nucleotide-",P62873,0.182119435,0.010916051
GOT2,Aspartate,P00505,0.180787442,0.823914205
RIB1;RNASE1;RNS1;hCG_1640891,"Ribonuclease pancreatic",P07998,0.177893694,0.072840269
GP2;DKFZp779K0533,"Isoform Alpha of",P55259,0.1774101,0.566714596
COD;SNRPB;SNRPB1;hCG_203942,"Isoform SM-B1 of Small",P14678,0.17679266,0.019833205
CAT;hCG_26501,Catalase,P04040,0.166432912,0.086918935
ACADVL;VLCAD;hCG_42007,"cDNA FLJ56425, highly",P49748,0.159378034,0.812873075
CFB;hCG_43699;BF;BFD;DAMA-,"cDNA FLJ55673, highly",P00751,0.15817397,0.658011956
FNRA;ITGA5,"Integrin alpha-5",P08648,0.154812299,0.754433283
DKFZp686I04196;DKFZp686E2320,Putative,Q6N093,0.150865237,0.286727322
BLVRB;FLR,"22 kDa protein;Flavin",P30043,0.15049611,0.093097683
GLO2;HAGH;HAGH1,"Isoform 1 of",Q16775,0.150060119,0.200742659
HSPC;PSMA7;RP5-1005F21.4-,"Isoform 1 of",O14818,0.14684972,0.615108189
PROS27;PSMA6;hCG_21177,"Proteasome subunit",P60900,0.135690567,0.659752155
HC3;PSC3;PSMA2;DKFZp686D091,"Proteasome subunit",P25787,0.134562071,0.386428247
NCAM;NCAM1,"Isoform 1 of Neural cell",P13591,0.134391766,0.884997198
HLA-DPB1;DAMA-245O6.7-,"Major histocompatibility",P04440,0.133978185,0.507494722
DEF1;DEFA1;DEFA2;MRS;Em:AF2,"Neutrophil defensin",P59665,0.132445785,0.035565838
ARSA;DKFZp686G12235,Arylsulfatase,P15289,0.131482082,0.67870932
KRT9,">P35527 SWISS-",P35527,0.126278795,0.175906372
GLUR;GRD1;GSR;hCG_1786263,"Isoform Mitochondrial",P00390,0.123190303,0.8358824
HBA1;HBA2,"Hemoglobin alpha-2",P69905,0.120819735,0.011154111
ZNF268,"Isoform A of Zinc finger",Q14587,0.117023432,0.036072932
NUDT5;HSPC115,Putative,Q9UKK9,0.112648098,0.026424473
HXBL;TNX;TNXB;TNXB1;TNXB2;XB,"Isoform XB of Tenascin-",P22105,0.11103333,0.12800349
RP11-126K1.7-,"Selenium binding",Q13228,0.110458331,0.309184719
PRSS1;PRSS2;TRY2;TRYP2;hCG_1,"PRSS1 protein;Protease",P07477,0.106691644,0.250027263
HC9;PSC9;PSMA4;hCG_38932,"Proteasome subunit",P25789,0.100145231,0.375400318
DPP2;DPP7;QPP,"Dipeptidyl peptidase",Q9UHL4,0.095028595,0.158037629
FBX7;FBXO7;DKFZp686B08113;LL,>IPI:IPI00294567.3|SWI,Q9Y3I1,0.0916819,0.000601931
EDMD;EMD;STA;hCG_41343;XX-,Emerin,P50402,0.089771516,0.477860863
C5;CPAMD4,Complement,P01031,0.088782131,0.125344895
ADH1B;ADH2;ADH1;ADH1A,"Alcohol dehydrogenase",P00325,0.088765075,0.008522964
SPTA;SPTA1;hCG_39948,"Isoform 1 of Spectrin",P02549,0.086837411,0.109389584
,Delta-hemoglobin,Q14485,0.085589517,0.023219108
HCC7;HEXB,Beta-hexosaminidase,P07686,0.078762786,0.067307786
S100B;hCG_401259,"Protein S100-B",P04271,0.070239521,0.190880233
PSPS;PSPS1;REG;REG1A;hCG_403,Lithostathine-1-alpha,P05451,0.063371825,0.443694382
FGG;PRO2061,Putative,P02679,0.061718654,0.001920737
FGB;hCG_2026446,"Fibrinogen beta chain",P02675,0.057641188,0.008309555
PPT1;RP11-115D7.2-,Palmitoyl-protein,P50897,0.057260912,0.202025189
DPEP1;MDP;RDP;hCG_1983494,"Dipeptidase 1",P16444,0.051959794,0.87554009
CA1,"Carbonic anhydrase 1;22",P00915,0.046245576,0.004882887
CLPS,Colipase,P04118,0.03641159,0.427879102
APOB;hCG_20898,"Apolipoprotein B-100",P04114,0.035845304,0.061691937
PSMB3,"Proteasome subunit",P49720,0.035011864,0.405208088
EPHX;EPHX1;EPOX,"Epoxide hydrolase 1",P07099,0.033386547,0.362152092
API6;CD5L;UNQ203/PRO229,"CD5 antigen-like",O43866,0.03075474,0.032911282
CPB;CPB1;PCPB;DKFZp779K1333,"Carboxypeptidase B",P15086,0.025494252,0.217276638
DKFZp686N02209;DKFZp686H20,Putative,Q7Z351,0.022394733,0.241326235
HKE2;PFD6;PFDN6;DADB-,"Prefoldin subunit 6",O15212,0.021830504,0.529529965
AGAT;GATM,"cDNA FLJ56372, highly",P50440,0.020837889,0.328177807
HBG2;HBG1;PRO2979;G-gamma,Gamma-G,P69892,0.020016899,0.012817706
ARL10B;ARL8A;GIE2;ARL10C;ARL8,"ADP-ribosylation factor-",Q96BM9,0.017184849,0.000591873
CPA;CPA1,Carboxypeptidase,P15085,0.010624853,0.226745355
PLA2;PLA2A;PLA2G1B;PPLA2,"Phospholipase A2;13",P04054,0.006649829,0.204075774
LAMA2;LAMM,"Laminin subunit alpha-",P24043,0.005604003,0.093685961
PNLIP;hCG_1640542;RP11-,Pancreatic,P16233,0.003531551,0.083805959
AMY2A,"Pancreatic alpha-",P04746,0.001113268,0.311501306
CELA2A;ELA2A;hCG_1812917,Putative,P08217,0.000468718,0.344264952
AO;AOX1;hAO;hCG_16558,"Aldehyde oxidase",Q06278,0.000310112,0.350896747
BAL;CEL,"carboxyl ester lipase",P19835,0.00010594,0.13090765
