"Gene Name","Accession Number","Uniprot Accession","Hypoxia Heavy","Normoxia Heavy"
ANXA1,ANXA1_HUMAN,P04083,24.12,23.98
PPIF,PPIF_HUMAN,P30405,22.6,23.99
SMAP,SMAP_HUMAN,O00193,24.29,23.99
UBA1,UBA1_HUMAN,P22314,24.39,23.99
MYOF,"MYOF_HUMAN (+1)",Q9NZM1,24.44,23.99
NDUFS1,"NDUS1_HUMAN (+1)",P28331,23.3,24
CYB5R3,NB5R3_HUMAN,P00387,24.43,24
RPS25,RS25_HUMAN,P62851,23.08,24.01
SRSF7,SRSF7_HUMAN,Q16629,23.46,24.01
TRAM1,TRAM1_HUMAN,Q15629,24.44,24.01
RPS12,RS12_HUMAN,P25398,23.55,24.03
EZR,EZRI_HUMAN,P15311,24.04,24.03
RPS9,RS9_HUMAN,P46781,23.11,24.04
CD109,CD109_HUMAN,Q6YHK3,23.65,24.04
DCTN2,"DCTN2_HUMAN (+2)",Q13561,23.72,24.04
NPM1,NPM_HUMAN,P06748,23.16,24.05
LAMP1,LAMP1_HUMAN,P11279,24.69,24.05
PLEC,PLEC_HUMAN,Q15149,24.57,24.07
SLC38A2,S38A2_HUMAN,Q96QD8,26.02,24.07
SERPINB2,PAI2_HUMAN,P05120,21.92,24.08
RPL35A,RL35A_HUMAN,P18077,23.21,24.08
RTN4,RTN4_HUMAN,Q9NQC3,23.84,24.08
HK1,HXK1_HUMAN,P19367,24.18,24.09
LAMP2,"LAMP2_HUMAN (+2)",P13473,24.72,24.09
RBM3,RBM3_HUMAN,P98179,22.74,24.1
HSPD1,CH60_HUMAN,P10809,23.12,24.1
GOT2,AATM_HUMAN,P00505,23.44,24.1
RANBP1,RANG_HUMAN,P43487,23.69,24.1
ATP2A2,"AT2A2_HUMAN (+3)",P16615,23.81,24.1
MRRF,"RRFM_HUMAN (+1)",Q96E11,23.86,24.1
HNRNPC,"HNRPC_HUMAN (+1)",P07910,24.35,24.1
ATP5C1,ATPG_HUMAN,P36542,23.78,24.11
CDC37,CDC37_HUMAN,Q16543,23.89,24.11
RAN,RAN_HUMAN,P62826,23.96,24.11
ACSL4,ACSL4_HUMAN,O60488,24.62,24.11
RPL15,RL15_HUMAN,P61313,23.32,24.12
MYH9,MYH9_HUMAN,P35579,24.13,24.12
PLS3,PLST_HUMAN,P13797,24.46,24.12
DDB1,DDB1_HUMAN,Q16531,23.99,24.13
ECHS1,ECHM_HUMAN,P30084,24.37,24.13
RPL13,RL13_HUMAN,P26373,23.09,24.14
PSMD14,PSDE_HUMAN,B3KNW2,23.33,24.14
RAC1,"RAC1_HUMAN (+1)",P63000,24.5,24.14
NSA2,NSA2_HUMAN,O95478,25.52,24.14
ANP32B,"AN32B_HUMAN (+1)",Q92688,23.75,24.15
PHB,PHB_HUMAN,P35232,23.76,24.15
MAT2A,METK2_HUMAN,P31153,24.11,24.15
SHMT2,GLYM_HUMAN,P34897,24.12,24.15
PLIN3,"PLIN3_HUMAN (+2)",O60664,24.83,24.15
RPL8,RL8_HUMAN,P62917,23.43,24.16
FLNA,"FLNA_HUMAN (+1)",P21333,24.31,24.16
MAGED2,"MAGD2_HUMAN (+1)",Q9UNF1,25.37,24.16
KARS,"SYK_HUMAN (+1)",Q15046,23.36,24.17
HSP90AA1,"HS90A_HUMAN (+1)",P07900,23.87,24.17
BAG3,BAG3_HUMAN,O95817,23.94,24.17
CLIC1,CLIC1_HUMAN,O00299,24.2,24.17
HLA-A,1A68_HUMAN,P16189,24.39,24.17
EEF2,EF2_HUMAN,P13639,23.43,24.18
SNRPD3,SMD3_HUMAN,P62318,24.27,24.18
SAR1A,SAR1A_HUMAN,Q9NR31,24.91,24.18
MTPN,MTPN_HUMAN,P58546,24.55,24.19
PSMA1,"PSA1_HUMAN (+1)",P25786,23.55,24.2
NDUFS3,NDUS3_HUMAN,O75489,24.12,24.2
AK3,KAD3_HUMAN,Q9UIJ7,24.4,24.2
PRRC2C,PRC2C_HUMAN,Q9Y520,23.43,24.21
SET,"SET_HUMAN (+3)",Q01105,23.85,24.21
TXN,THIO_HUMAN,P10599,24.25,24.21
DUT,DUT_HUMAN,P33316,24.28,24.21
RCN1,RCN1_HUMAN,Q15293,24.92,24.21
RPL4,RL4_HUMAN,P36578,22.95,24.22
TKT,"TKT_HUMAN (+1)",P29401,23.57,24.22
RPS15A,RS15A_HUMAN,P62244,23.7,24.22
CLTC,"CLH1_HUMAN (+1)",Q00610,24.09,24.22
MYL6,"MYL6_HUMAN (+1)",P60660,24.72,24.22
ANXA2,ANXA2_HUMAN,P07355,24.96,24.22
ARPC3,ARPC3_HUMAN,O15145,24.27,24.23
CISD1,CISD1_HUMAN,Q9NZ45,24.57,24.23
SPTBN1,SPTB2_HUMAN,Q01082,24.66,24.23
RPL18A,RL18A_HUMAN,Q02543,23.31,24.24
NCL,NUCL_HUMAN,P19338,23.77,24.25
HSPA1A,HSP71_HUMAN,P08107,24.39,24.25
ALDOA,ALDOA_HUMAN,P04075,26.21,24.25
TIMM23,TIM23_HUMAN,Q6P5S5,24.21,24.26
PSMB1,PSB1_HUMAN,P20618,23.72,24.27
DDX27,DDX27_HUMAN,Q96GQ7,24.41,24.27
DLD,DLDH_HUMAN,P09622,23.95,24.28
SSBP1,SSBP_HUMAN,Q04837,24.14,24.28
SRP14,SRP14_HUMAN,P37108,25.01,24.28
ATP1B3,AT1B3_HUMAN,P54709,24.63,24.29
PXN,PAXI_HUMAN,P49023,24.81,24.29
RPL10A,RL10A_HUMAN,P62906,23.3,24.3
TOP1,TOP1_HUMAN,Q6NWZ5,22.91,24.31
ATP5H,ATP5H_HUMAN,O75947,23.55,24.31
HNRNPA1,ROA1_HUMAN,P09651,23.78,24.31
PSMA7,PSA7_HUMAN,O14818,23.9,24.31
ATP5A1,ATPA_HUMAN,P25705,24.12,24.31
GNAI3,GNAI3_HUMAN,P08754,24.47,24.31
OAT,OAT_HUMAN,P04181,24.72,24.31
PFN1,PROF1_HUMAN,P07737,24.85,24.31
ASPH,"ASPH_HUMAN (+1)",Q12797,24.88,24.31
NAMPT,NAMPT_HUMAN,P43490,24.15,24.32
RBMX,RBMX_HUMAN,P38159,24.26,24.32
TM9SF4,TM9S4_HUMAN,Q92544,24.68,24.32
KTN1,"KTN1_HUMAN (+2)",Q86UP2,24.71,24.32
RPL27,RL27_HUMAN,P61353,23.51,24.33
ATP1A1,"AT1A1_HUMAN (+2)",P05023,24.39,24.33
AKAP2,AKAP2_HUMAN,Q9Y2D5,24.7,24.33
RPS8,RS8_HUMAN,P62241,23.53,24.34
YWHAB,1433B_HUMAN,P31946,24.63,24.34
ITGA5,ITA5_HUMAN,P08648,24.68,24.34
RRBP1,"RRBP1_HUMAN (+1)",Q9P2E9,24.96,24.34
YWHAQ,1433T_HUMAN,P27348,24.64,24.35
EHD1,EHD1_HUMAN,Q9H4M9,24.88,24.35
LDHB,LDHB_HUMAN,P07195,23.93,24.36
NME2,NDKB_HUMAN,P22392,23.96,24.36
RAB5C,RAB5C_HUMAN,P51148,24.27,24.36
RPL10,RL10_HUMAN,P27635,23.83,24.38
TM9SF3,TM9S3_HUMAN,Q8NCC4,24.41,24.38
RAB7A,RAB7A_HUMAN,P51149,24.54,24.39
HSP90B1,ENPL_HUMAN,P14625,24.94,24.4
ACTN1,"ACTN1_HUMAN (+1)",P12814,24.46,24.41
TMED9,TMED9_HUMAN,Q9BVK6,24.49,24.41
RPS21,RS21_HUMAN,P63220,23.63,24.42
MT-CO2,COX2_HUMAN,P00403,24.21,24.42
HNRNPU,HNRPU_HUMAN,Q00839,24.46,24.42
RPL30,RL30_HUMAN,P62888,23.1,24.43
LAS1L,"LAS1L_HUMAN (+1)",Q9Y4W2,23.94,24.43
ATP5B,ATPB_HUMAN,P06576,24.12,24.43
PRDX1,PRDX1_HUMAN,Q06830,24.46,24.44
SH3BGRL3,SH3L3_HUMAN,Q9H299,25.49,24.44
DPYSL2,DPYL2_HUMAN,Q16555,25.69,24.44
PDCD6IP,"PDC6I_HUMAN (+1)",Q8WUM4,24.8,24.45
TRMT112,TR112_HUMAN,Q9UI30,24.08,24.46
CNPY2,CNPY2_HUMAN,Q9Y2B0,24.63,24.46
YWHAZ,1433Z_HUMAN,P63104,24.64,24.46
H2AFZ,H2AZ_HUMAN,P0C0S5,24.97,24.48
CDK1,CDK1_HUMAN,P06493,24.38,24.49
RAB14,RAB14_HUMAN,P61106,24.96,24.49
C19orf10,CS010_HUMAN,Q969H8,25.11,24.49
PGAM1,PGAM1_HUMAN,P18669,25.92,24.49
IPO7,IPO7_HUMAN,O95373,23.67,24.5
HIST1H1C,H12_HUMAN,P16403,23.99,24.5
CAPG,CAPG_HUMAN,P40121,24.78,24.5
BCAP31,"BAP31_HUMAN (+1)",P51572,23.98,24.51
UCHL1,UCHL1_HUMAN,P09936,25.04,24.51
NUDC,NUDC_HUMAN,Q9Y266,23.85,24.52
NAP1L1,NP1L1_HUMAN,P55209,23.92,24.52
RPL24,RL24_HUMAN,P83731,24.01,24.52
HSPA8,HSP7C_HUMAN,P11142,23.71,24.53
MCM2,MCM2_HUMAN,P49736,24.55,24.53
FLNC,FLNC_HUMAN,Q14315,24.6,24.53
MANF,MANF_HUMAN,P55145,25.05,24.53
NONO,NONO_HUMAN,Q15233,24.4,24.54
GNB2L1,GBLP_HUMAN,P63244,24.1,24.55
C1QBP,C1QBP_HUMAN,Q07021,24.19,24.55
P4HB,PDIA1_HUMAN,P07237,25.32,24.55
SRRM1,"SRRM1_HUMAN (+1)",Q8IYB3,23.41,24.56
PPIB,PPIB_HUMAN,P23284,24.96,24.56
PPP2CA,PP2AA_HUMAN,P67775,24.14,24.57
ETHE1,ETHE1_HUMAN,O95571,24.27,24.57
RAB1B,RAB1B_HUMAN,Q9H0U4,24.91,24.57
CFL1,COF1_HUMAN,P23528,24.88,24.58
EIF5A,"IF5A1_HUMAN (+2)",P63241,24.93,24.59
RPL35,RL35_HUMAN,P42766,24.24,24.6
CCDC6,CCDC6_HUMAN,Q16204,24.29,24.6
MGST1,MGST1_HUMAN,P10620,24.52,24.6
MYL12B,ML12B_HUMAN,O14950,24.99,24.6
TFRC,TFR1_HUMAN,P02786,23.65,24.62
NACA,NACAM_HUMAN,E9PAV3,23.82,24.62
NDUFA2,NDUA2_HUMAN,O43678,24.27,24.62
IMMT,"IMMT_HUMAN (+1)",Q16891,24.58,24.62
FTH1,FRIH_HUMAN,P02794,23.63,24.63
STMN1,"STMN1_HUMAN (+1)",P16949,24.47,24.63
RPN1,RPN1_HUMAN,P04843,24.75,24.63
CALM1,CALM_HUMAN,P62158,25.13,24.63
SRSF3,SRSF3_HUMAN,P84103,24.14,24.64
CYCS,CYC_HUMAN,P99999,24.41,24.64
TM9SF2,TM9S2_HUMAN,Q99805,24.89,24.64
SMARCA5,SMCA5_HUMAN,O60264,24.91,24.64
SOD2,"SODM_HUMAN (+1)",P04179,25.48,24.64
SLC25A5,ADT2_HUMAN,P05141,24.22,24.65
ARHGDIA,GDIR1_HUMAN,P52565,24.33,24.65
NDUFB4,"NDUB4_HUMAN (+1)",O95168,24.51,24.65
OLA1,OLA1_HUMAN,Q9NTK5,24.04,24.66
TOMM22,TOM22_HUMAN,Q9NS69,24.19,24.66
TFG,"TFG_HUMAN (+1)",Q92734,24.86,24.66
ACTG1,ACTG_HUMAN,P63261,24.94,24.66
PFDN5,PFD5_HUMAN,Q99471,23.8,24.67
EIF6,IF6_HUMAN,P56537,24.35,24.67
PSMC1,PRS4_HUMAN,P62191,24.23,24.68
HNRNPF,HNRPF_HUMAN,P52597,24.53,24.68
HSPE1,CH10_HUMAN,P61604,24.41,24.69
ENO1,ENOA_HUMAN,P06733,25.61,24.69
RPL27A,RL27A_HUMAN,P46776,23.73,24.71
RPS27L,RS27L_HUMAN,Q71UM5,24.62,24.71
PKM,KPYM_HUMAN,P14618,25.78,24.71
EEF1A1,EF1A1_HUMAN,P68104,23.84,24.73
RPL11,RL11_HUMAN,P62913,23.85,24.73
RPL7L1,RL7L_HUMAN,Q6DKI1,25.48,24.73
ACTN4,ACTN4_HUMAN,O43707,25.04,24.75
GAPDH,G3P_HUMAN,P04406,25.52,24.75
RPL23A,RL23A_HUMAN,P62750,23.72,24.76
HIST1H4A,H4_HUMAN,P62805,24.78,24.76
TUBA1C,TBA1C_HUMAN,Q9BQE3,24.57,24.77
TSFM,"EFTS_HUMAN (+1)",P43897,24.77,24.77
MTDH,LYRIC_HUMAN,Q86UE4,24.91,24.78
MAPRE1,MARE1_HUMAN,Q15691,24.48,24.79
HIST1H2BO,H2B1O_HUMAN,Q8TCV6,24.78,24.79
RPL32,RL32_HUMAN,P62910,23.5,24.8
MYADM,MYADM_HUMAN,B2RE58,25.44,24.8
MSMO1,MSMO1_HUMAN,Q15800,25.4,24.81
EEF1B2,EF1B_HUMAN,P24534,23.59,24.83
HSP90AB1,HS90B_HUMAN,P08238,24.42,24.84
DHRS7,"DHRS7_HUMAN (+1)",Q9Y394,24.67,24.84
FAU,RS30_HUMAN,P62861,24.55,24.85
ARL6IP5,PRAF3_HUMAN,O75915,25.5,24.85
SDC1,SDC1_HUMAN,P18827,24.75,24.86
HINT2,HINT2_HUMAN,Q9BX68,24.73,24.87
COX5A,COX5A_HUMAN,P20674,24.99,24.87
SLIRP,"SLIRP_HUMAN (+1)",Q9GZT3,24.96,24.88
USMG5,USMG5_HUMAN,Q96IX5,25.25,24.9
LRRC59,LRC59_HUMAN,Q96AG4,24.61,24.91
HSPA5,GRP78_HUMAN,P11021,25.51,24.91
DYNLL1,DYL1_HUMAN,P63167,24.38,24.92
HSPA9,GRP75_HUMAN,P38646,24.52,24.92
VDAC2,VDAC2_HUMAN,P45880,24.56,24.95
AHSA1,AHSA1_HUMAN,O95433,24.91,24.95
CLTB,"CLCB_HUMAN (+1)",P09497,23.87,24.97
HDGF,"HDGF_HUMAN (+2)",P51858,24.89,24.97
TMEM43,TMM43_HUMAN,Q96JX0,24.44,24.98
TXNRD1,TRXR1_HUMAN,Q16881,24.46,24.99
RPL39,RL39_HUMAN,P62891,24.41,25.03
SLC39A14,"S39AE_HUMAN (+2)",Q15043,25.49,25.04
BTF3,BTF3_HUMAN,P20290,23.14,25.06
MRPL12,RM12_HUMAN,P52815,24.3,25.06
CYB5B,CYB5B_HUMAN,O43169,24.75,25.07
COX5B,COX5B_HUMAN,P10606,25.19,25.07
PEBP1,PEBP1_HUMAN,P30086,24.85,25.09
VMA21,VMA21_HUMAN,Q3ZAQ7,25.2,25.09
VDAC1,VDAC1_HUMAN,P21796,25.4,25.09
BET1,BET1_HUMAN,O15155,25.75,25.09
H1FX,H1X_HUMAN,Q92522,23.47,25.1
TPT1,TCTP_HUMAN,P13693,24.14,25.1
CISD2,CISD2_HUMAN,Q8N5K1,25.01,25.1
HM13,"HM13_HUMAN (+1)",Q8TCT9,25.19,25.11
DEK,DEK_HUMAN,P35659,25.22,25.14
DHCR7,DHCR7_HUMAN,Q9UBM7,25.43,25.18
ITGB1,ITB1_HUMAN,P05556,25.24,25.22
LIMA1,"LIMA1_HUMAN (+1)",Q9UHB6,23.49,25.23
NDUFAF2,MIMIT_HUMAN,Q8N183,24.55,25.23
PDLIM1,PDLI1_HUMAN,O00151,25.31,25.23
VIM,VIME_HUMAN,P08670,25.46,25.26
STT3B,STT3B_HUMAN,Q8TCJ2,25.23,25.34
LGALS1,LEG1_HUMAN,P09382,26.07,25.41
RPS27A,RS27A_HUMAN,P62979,26.5,25.48
ATP5L,ATP5L_HUMAN,O75964,24.97,25.61
SCD,ACOD_HUMAN,O00767,26.3,25.65
CLTA,"CLCA_HUMAN (+3)",P09496,25.81,25.68
CALU,"CALU_HUMAN (+1)",O43852,25.53,25.81
SSR4,SSRD_HUMAN,P51571,25.94,25.88
VAMP3,VAMP3_HUMAN,Q15836,26.3,25.94
GPATCH8,GPTC8_HUMAN,Q9UKJ3,22.64,26.06
MIF,MIF_HUMAN,P14174,26.67,26.37
HIST1H2BK,H2B1K_HUMAN,Q2VPI7,26.18,26.57
ACTBL2,ACTBL_HUMAN,Q562R1,28.86,28.57
